id,symbol,name
bitcoin,btc,Bitcoin
ethereum,eth,Ethereum
ripple,xrp,XRP
tether,usdt,Tether
binancecoin,bnb,BNB
solana,sol,Solana
usd-coin,usdc,USDC
dogecoin,doge,Dogecoin
tron,trx,TRON
cardano,ada,Cardano
hyperliquid,hype,Hyperliquid
stellar,xlm,Stellar
sui,sui,Sui
chainlink,link,Chainlink
hedera-hashgraph,hbar,Hedera
bitcoin-cash,bch,Bitcoin Cash
avalanche-2,avax,Avalanche
leo-token,leo,LEO Token
shiba-inu,shib,Shiba Inu
the-open-network,ton,Toncoin
litecoin,ltc,Litecoin
polkadot,dot,Polkadot
monero,xmr,Monero
uniswap,uni,Uniswap
dai,dai,Dai
ethena-usde,usde,Ethena USDe
bitget-token,bgb,Bitget Token
pepe,pepe,Pepe
aave,aave,Aave
bittensor,tao,Bittensor
pi-network,pi,Pi Network
crypto-com-chain,cro,Cronos
aptos,apt,Aptos
near,near,NEAR Protocol
internet-computer,icp,Internet Computer
ondo-finance,ondo,Ondo
ethereum-classic,etc,Ethereum Classic
okb,okb,OKB
polygon-ecosystem-token,pol,POL (ex-MATIC)
algorand,algo,Algorand
mantle,mnt,Mantle
kaspa,kas,Kaspa
world-liberty-financial,wlfi,World Liberty Financial
ethena,ena,Ethena
bonk,bonk,Bonk
vechain,vet,VeChain
arbitrum,arb,Arbitrum
render-token,render,Render
gatechain-token,gt,Gate
official-trump,trump,Official Trump
sei-network,sei,Sei
worldcoin-wld,wld,Worldcoin
cosmos,atom,Cosmos Hub
filecoin,fil,Filecoin
fetch-ai,fet,Artificial Superintelligence Alliance
pudgy-penguins,pengu,Pudgy Penguins
sky,sky,Sky
jupiter-exchange-solana,jup,Jupiter
spx6900,spx,SPX6900
kucoin-shares,kcs,KuCoin
first-digital-usd,fdusd,First Digital USD
quant-network,qnt,Quant
celestia,tia,Celestia
fartcoin,fartcoin,Fartcoin
xdce-crowd-sale,xdc,XDC Network
story-2,ip,Story
four,form,Four
injective-protocol,inj,Injective
blockstack,stx,Stacks
flare-networks,flr,Flare
optimism,op,Optimism
virtual-protocol,virtual,Virtuals Protocol
dogwifcoin,wif,dogwifhat
immutable-x,imx,Immutable
sonic-3,s,Sonic
the-graph,grt,The Graph
kaia,kaia,Kaia
pax-gold,paxg,PAX Gold
floki,floki,FLOKI
curve-dao-token,crv,Curve DAO
paypal-usd,pyusd,PayPal USD
iota,iota,IOTA
vaulta,a,Vaulta
nexo,nexo,NEXO
pancakeswap-token,cake,PancakeSwap
ethereum-name-service,ens,Ethereum Name Service
tether-gold,xaut,Tether Gold
jasmycoin,jasmy,JasmyCoin
the-sandbox,sand,The Sandbox
theta-token,theta,Theta Network
gala,gala,GALA
lido-dao,ldo,Lido DAO
raydium,ray,Raydium
zcash,zec,Zcash
memecore,m,MemeCore
aerodrome-finance,aero,Aerodrome Finance
bittorrent,btt,BitTorrent
mog-coin,mog,Mog Coin
pyth-network,pyth,Pyth Network
tezos,xtz,Tezos